Timestamp,num_siblings,num_countries,in_out_state,ice_cream,smoothie,sport,pres_choice,policy_choice
2019/11/16 2:23:01 PM EST,1,1,Out of state,Yes,Mango,Soccer,Yang,Climate change
2019/11/16 2:23:12 PM EST,1,1,In state,Yes,Strawberry,Volleyball,Prefer not to answer,Health care
2019/11/16 2:23:16 PM EST,1,1,In state,Yes,Strawberry,Volleyball,Prefer not to answer,Health care
2019/11/16 2:23:20 PM EST,1,3,In state,No,Mango,Soccer,Prefer not to answer,Education
2019/11/16 2:23:42 PM EST,2,2,In state,Yes,Strawberry,Swimming,Prefer not to answer,Social justice reform
2019/11/16 2:23:45 PM EST,1,8,Out of state,Yes,Pina colada,Track and field,Buttigieg,Climate change
2019/11/16 2:24:23 PM EST,1,7,In state,Yes,Cookies and cream,Volleyball,Yang,Education
2019/11/16 2:24:55 PM EST,1,3,Out of state,No,Mango,Soccer,Prefer not to answer,Education
2019/11/16 2:25:12 PM EST,1,1,Out of state,Yes,Strawberry,Soccer,Warren,Wealth inequality
2019/11/16 2:25:57 PM EST,2,1,In state,Yes,Cookies and cream,Swimming,Trump,Foreign policy
2019/11/16 2:27:12 PM EST,2,5,Out of state,Yes,Mango,Tennis,Warren,Health care
2019/11/16 2:27:27 PM EST,3,3,In state,Yes,Strawberry banana,Volleyball,Prefer not to answer,Health care
2019/11/16 2:27:52 PM EST,1,10,Out of state,Yes,Mango,Swimming,Prefer not to answer,Social justice reform
2019/11/16 2:32:07 PM EST,1,8,Out of state,Yes,Cookies and cream,Volleyball,Yang,Health care
2019/11/16 2:32:14 PM EST,4,0,Out of state,Yes,Strawberry banana,Basketball,Prefer not to answer,Immigration
2019/11/16 2:32:29 PM EST,2,8,Out of state,Yes,Pina colada,Swimming,Warren,Immigration
2019/11/16 2:33:41 PM EST,0,3,Out of state,Yes,Pina colada,Swimming,Prefer not to answer,Wealth inequality
2019/11/16 2:33:48 PM EST,2,5,Out of state,Yes,Cookies and cream,Swimming,Warren,Climate change
2019/11/16 2:33:57 PM EST,1,3,Out of state,Yes,Strawberry banana,Swimming,Sanders,Climate change
2019/11/16 2:34:02 PM EST,1,10,Out of state,Yes,Cookies and cream,Volleyball,Harris,Social justice reform
2019/11/16 2:34:26 PM EST,1,5,Out of state,Yes,Mango,Soccer,Buttigieg,Climate change
2019/11/16 2:34:28 PM EST,1,3,Out of state,Yes,Mango,Track and field,Buttigieg,Health care
2019/11/16 2:34:38 PM EST,1,4,Out of state,Yes,Cookies and cream,Swimming,Sanders,Climate change
2019/11/16 2:34:40 PM EST,1,5,In state,Yes,Strawberry,Track and field,Sanders,Climate change
2019/11/16 2:34:41 PM EST,2,5,Out of state,Yes,Mango,Baseball,Buttigieg,Health care
2019/11/16 2:34:47 PM EST,4,1,In state,Yes,Strawberry,Soccer,Prefer not to answer,Social justice reform
2019/11/16 2:34:48 PM EST,1,2,Out of state,No,Strawberry kiwi,Track and field,Warren,Climate change
2019/11/16 2:34:56 PM EST,2,2,In state,Yes,Cookies and cream,Swimming,Prefer not to answer,Other
2019/11/16 2:35:02 PM EST,1,8,Out of state,Yes,Strawberry banana,Volleyball,Prefer not to answer,Climate change
2019/11/16 2:35:06 PM EST,2,3,In state,Yes,Chocolate,Swimming,Prefer not to answer,Prefer not to answer
2019/11/16 2:35:17 PM EST,3,1,In state,Yes,Chocolate,Swimming,Prefer not to answer,Prefer not to answer
2019/11/16 2:36:01 PM EST,1,8,Out of state,Yes,Strawberry,Basketball,Warren,Social justice reform
2019/11/16 2:36:16 PM EST,1,2,In state,Yes,Strawberry banana,Basketball,Prefer not to answer,Other
2019/11/16 2:36:32 PM EST,1,3,In state,No,Mango,Soccer,Prefer not to answer,Education
2019/11/16 2:37:10 PM EST,1,7,In state,Yes,Chocolate,Basketball,Warren,Health care
2019/11/16 2:37:27 PM EST,1,3,In state,Yes,Mango,Track and field,Other,Health care
2019/11/16 2:37:30 PM EST,1,3,Out of state,Yes,Mango,Swimming,Harris,Climate change
2019/11/16 2:37:56 PM EST,1,2,In state,Yes,Strawberry banana,Tennis,Prefer not to answer,Climate change
2019/11/16 2:38:13 PM EST,0,0,In state,Yes,Cookies and cream,Track and field,Other,Other
2019/11/16 2:39:00 PM EST,1,1,In state,Yes,Pina colada,Track and field,Prefer not to answer,Climate change
2019/11/16 2:39:04 PM EST,2,3,Out of state,Yes,Strawberry banana,Swimming,Other,Climate change
2019/11/16 2:39:09 PM EST,1,0,In state,Yes,Cookies and cream,Volleyball,Prefer not to answer,Social justice reform
2019/11/16 2:39:10 PM EST,1,0,Out of state,Yes,Cookies and cream,Swimming,Trump,Prefer not to answer
2019/11/16 2:39:19 PM EST,5,3,In state,Yes,Cookies and cream,Tennis,Yang,Climate change
2019/11/16 2:39:27 PM EST,4,0,Out of state,Yes,Mango,Track and field,Prefer not to answer,Other
2019/11/16 2:40:05 PM EST,0,1,In state,Yes,Pina colada,Swimming,Other,Social justice reform
2019/11/16 2:40:37 PM EST,1,0,Out of state,Yes,Strawberry,Swimming,Prefer not to answer,Climate change
